1,Which companies will survive until 2030? New report reveals rankings,"NEW YORK, Nov. 29, 2017 /PRNewswire/ -- A report released by Quantumrun, a research and consulting agency specializing in long-term strategic forecasting, ranked 1,000 of the top global companies by whether they will remain in business until 2030.

Named the ""Quantumrun Global 1000,"" this business forecasting report and ranking measures the potential longevity of companies by analyzing 18 key criterions that are themselves determined by reviewing over 80 data points.  

David Tal, Quantumrun's founder and president, said, ""Our team created this report as a tool to help companies big and small understand the different factors that contribute to organizational longevity, while also encouraging executives to look beyond quarterly performance metrics and invest more resources into developing their company's long-term vision.""

Lua Emilia, director, Strategy & Business Intelligence, and co-author of this report, said, ""We worked hard to develop and fine-tune the final criteria to best fit the wide cross-section of industries we were analyzing. Our ultimate goal is to inspire organizations to think objectively about the sustainability of their current operations by seeing what works and where they should focus their attention.""

Quantumrun also released similar reports that rank the top 500 U.S. companies and the top 100 Silicon Valley companies. Links found below.

Report links:

*Key findings from 2017 ranking reports: http://www.quantumrun.com/article/2017-quantumrun-global-1000-key-findings"
1,Is iBPM for real or just a fad in the market?,"Every mature technology seems to beg for an upgrade, at least from a marketing perspective. Business process management... Sign in for existing members Step 2 of 2: By submitting your personal information, you agree that TechTarget and its partners ...

searchsoa.techtarget.com"
1,Datamatics Global Services reports a revenue of Rs. 232.09 crore in Q2 FY17-18,"Datamatics Global Services Ltd. (DGSL), a global provider of Information Technology, Data Management, Business Process Management and Consulting services today announced the financial results for its second quarter ended ...

www.equitybulls.com

< Top >

WNS leverages analytics for omni-channel customer interaction"
1,Pegasystems Earns Best in Biz Award for Second Consecutive Year,"CAMBRIDGE, Mass., Nov. 30, 2017 (GLOBE NEWSWIRE) -- Pegasystems Inc. (NASDAQ:PEGA), the software company empowering customer engagement at the world’s leading enterprises, today announced that Pega® Intelligent Virtual Assistant has been named a Bronze winner for Best New Product of the Year in the Enterprise category of the seventh annual Best in Biz Awards. This marks the second consecutive year that a Pega solution has won an award in this category.

The award recognizes Pega Intelligent Virtual Assistant’s use of artificial intelligence (AI) to evolve bots from simple chat and data aggregation novelties into dynamic customer engagement tools. This AI-powered bot provides customers and employees with smart digital assistants from almost any conversational interface – from SMS and email to Facebook, Alexa, Slack, and beyond. Pega Intelligent Virtual Assistant – part of the Pega® Platform – turns these channels into sophisticated digital agents that make personalized customer service possible using natural language in voice or text, making bots more useful and gratifying for customers and employees to use.

The Best in Biz Awards is an independent business awards program judged by a panel of 50 press and industry analyst members in North America. The seventh annual program received more than 650 entries from public and private companies of varying sizes, industries, and geographies."
1,Informatica Launches New Cloud Data Management Solutions for AWS Customers,"Informatica is demonstrating its solutions for AWS customers at Booth #109 at AWS re:Invent 2017, Nov. 27 – Dec. 1 in Las Vegas, Nevada, where Informatica is a Silver Sponsor.

Informatica cloud data management solutions are available on AWS Marketplace. The industry leading Informatica data management solutions are also part of the Informatica Intelligent Data Platform™, powered by the CLAIRE™ engine, the metadata-driven artificial intelligence to power data-driven disruption.

Highlights/Key Facts

No-Cost Trial of Informatica Enterprise Data Catalog on AWSInformatica is now offering a no-cost trial of Informatica Enterprise Data Catalog on AWS. Informatica Enterprise Data Catalog uses machine learning-based algorithms to organize and catalog all data assets across the enterprise that can then be certified by data stewards. The data catalog is available via a simple, intelligent search bar, without having to ask or wait for IT to publish it. AI-driven data cataloging is a key component of building data lakes, data warehouse modernization, and migrating assets on AWS.Using a newly deployed AWS QuickStart, customers can easily set up a proof of concept (POC) for Informatica Enterprise Data Catalog in a single-click deployment running on AWS.

 Informatica PowerCenter® Pay-As-You-Go Now Available on AWS MarketplaceInformatica’s market-leading enterprise ETL data integration solution, Informatica PowerCenter, is now available on a Pay-As-You-Go basis on AWS Marketplace providing customers with the ultimate in flexibility."
1,How Big Data Models Can Create More Data Insights In Future,"Big Data has evolved over the years and transformed various forms of data; right from the industrial data to customer-centric behavioral data. Big Data models are not only changing the way companies operate, but are also helping the organisations in creating more streams of data insights in near future. ()"
1,Big data and the future of healthcare industry,"Advances in data analytics enhance accessibility, affordability and quality of health services, writes KAMAL BRAR

ONE of the greatest challenges facing governments around the world is how to provide their citizens with effective and affordable healthcare. This is in fact a highly complex set of problems with multiple causes and a variety of actions needed in response. Happily, advances in technology are holding out the promise of addressing the challenge.

As in developed countries around the world, Malaysia's healthcare providers must deal with a rapidly ageing population, leading to an influx of patients, and increasing pressure on general practitioners and hospital emergency departments. People are living longer - which actually reflects one of Malaysia's success stories - healthcare. In the 60 years since independence, we have increased our lifespan by about 20 years.

Improvements in primary public healthcare, such as sanitation, food safety and protection against infectious diseases via vaccination, have all contributed to this increased life expectancy. Unfortunately, however, living longer has not translated to better quality of life.

Of particular concern are the statistics on obesity and diabetes. The National Health and Morbidity Survey 2015 revealed that obese Malaysians make up 17.7 per cent of the population, compared with just 4.4 per cent in 1996.

The same survey found that 17.5 per cent of Malaysians aged 18 and above - around 3.5 million people - have diabetes. In 2006, this figure was 11.6 per cent.

One thing is clear from these numbers - more Malaysians are having to live longer in ill health.

Will the country be able to cope with the increasing number of the elderly and ill? The proposed Aged Healthcare Act is a start, though its primary aim is better regulation and monitoring of aged healthcare centres in the country.

The healthcare industry has always generated large amounts of data for purposes of patient care, compliance and record-keeping. The advent of the Internet of Things has caused an explosion in data, from sensors to health-tracking applications and devices that healthcare providers can tap into to optimise resources, bring greater efficiencies and develop an integrated healthcare system.

The capture and analysis of this mass of raw data has the potential to transform healthcare, to enhance the accessibility, affordability and quality of healthcare to meet the needs of Malaysians across different stages of their healthcare journey - from diagnosis and treatment, to post-discharge follow-up.

Big data in healthcare refers to electronic health data sets that are so large and complex that it would be difficult to manage and analyse using traditional software and data management tools and methods. With big data, healthcare organisations have the ability to let multiple hospitals exchange information, leading to a 360-view of their patients, so doctors can give a more complete diagnosis.

Healthcare services companies have gained significant value through the ability to take in data from a variety of sources, such as lab and patient data, to recognise patterns and supply this data to doctors to provide recommendations on how patients can improve their health. Without Big Data, none of this would be possible and healthcare organisations would be operating without having the complete picture.

When a person's medical records are shared among all public health institutions, the patient's journey is simplified from primary to tertiary care, in both the public and private sectors, as any doctor treating the patient would have full access to his or her medical records

There are many other ways in which technology is being adopted, putting health data to work in the pursuit of improved healthcare.

For example, hospitals have begun to use radio-frequency identification (RFID) to track equipment and medicines as they move throughout their facilities. RFID scans of an item or device can capture their contents, location, manufacture date, order numbers and shipping data. This information can ensure medicines are utilised before their expiry date or quickly locate an important piece of equipment.

In the longer term, historical data on the interactions of medicines, equipment and doctors will provide valuable information for healthcare predictive analytics, as well as helping to plan purchases, train staff and improve operational efficiency.

In another advance on traditional practice, wireless sensors are being used to capture and transmit patient vitals more frequently than staff can make bedside visits. These signals can provide real-time alerts, so caregivers can respond more promptly to unexpected changes. Accumulating this data over time enables healthcare predictive analytics to proactively help predict the likelihood of an emergency, even before it could be detected with a bedside visit.

One common problem with our existing healthcare system is re-admission rates. Patients with heart disease, for example, are closely monitored in the hospital, but may skip their medications or ignore dietary and self-care instructions when they go home.

Healthcare, especially on a national level, will continue to be a major challenge for authorities. Demographic and lifestyle changes in populations, as well as outbreaks of unanticipated diseases, will constantly demand innovative responses from governments and the healthcare profession.

Fortunately, advances in healthcare data analytics are keeping pace with the evolving nature of the challenge. Patients and healthcare staff alike can be confident that technology is on their side.

< Top >

R – A Big Data Open-Source Technology To Watch"
1,Oil and Gas Big Data: Better Business Results with Data Analytics,"The upstream energy industry is transitioning again. Data volume has exploded over the past years, computer processing capabilities have continued to grow, and connectivity continues to expand. The question is, what to do about it? Do these conditions offer an ...

www.pennenergy.com

< Top >

Big Data Spending in Healthcare 2017 Global Market Expected to Grow at CAGR 42 % and Forecast to 2019"
1,Upgrade and Corridor Collaborate on Big Data and Credit Analytics,"SAN FRANCISCO, Nov. 29, 2017 /PRNewswire/ -- Upgrade, Inc. (http://www.upgrade.com), a consumer credit platform that combines personal loans with tools that help consumers understand and monitor their credit, today announced a strategic partnership with Corridor Funds (http://www.corridorfunds.com), a new credit analytics and portfolio management platform founded by Manish Gupta. Mr. Gupta was recently EVP, Global Head of Information Management and Advanced Decisioning at American Express and prior to that spent many years as Chief Credit Officer of the Amex US consumer lending business. Under the terms of the partnership, Corridor will provide independent analytical review and validation to investors in Upgrade's personal loan products, and will collaborate with Upgrade on new product design.

""Manish is one of the most experienced and impressive credit professionals I have met in my career,"" said Upgrade co-founder and Chief Executive Officer Renaud Laplanche. ""He's put together a unique team at Corridor that builds on decades of experience at American Express, which set the standard that every major bank has been measured against in the last 20 years in terms of underwriting strategy and credit analytics.""

Corridor brings together a team of highly seasoned credit professionals and the most advanced analytical big data capabilities to provide non-bank institutional investors an ability to invest in consumer and small business loans with the same confidence and rigor as some of the leading banks in the world.  The core leadership team comprises of some of the most senior credit executives with decades of experience designing, underwriting, pricing and managing multibillion-dollar portfolios through multiple credit and recessionary cycles.

""We have been expecting a version 2.0 of online lending for several years; we're now seeing the marketplace lending industry mature and incorporate the learnings of the last decade, and the platforms exhibit better analytical discipline and think more creatively about product design. Upgrade is the most advanced online lending platform in that respect, and we are thrilled to be partnering with them,"" said Corridor founder and CEO Manish Gupta.

Upgrade now has over 170 team members working out of its San Francisco, California headquarters, Phoenix, Arizona operations center and Montreal, Quebec, Canada development center. All loans originated through the Upgrade platform are issued by WebBank, Member FDIC."
1,"HPE launches HPE GreenLake, a new suite of “pay-per-use” IT solutions; includes big data, backup, open database, SAP HANA","Hewlett Packard Enterprise (HPE) announced on Monday launch of HPE GreenLake, a suite of pay-per-use solutions available for top customer workloads. Those offerings include big data, backup, open database, SAP HANA, and edge computing. As part of its ...

www.wwpi.com"
